City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,broome,42.2506,-75.833,24.27000000000004,83,100,0.0,US,1722724087
210,cobija,-11.0267,-68.7692,34.29000000000002,31,61,2.89,BO,1722724088
211,metlili chaamba,32.2667,3.6333,36.52000000000004,10,0,3.6,DZ,1722724089
212,alakurtti,66.9672,30.3491,14.870000000000005,70,78,1.38,RU,1722724090
213,utrik,11.2278,169.8474,28.379999999999995,76,3,3.78,MH,1722724091
214,stutterheim,-32.5708,27.424,14.860000000000014,24,99,3.78,ZA,1722724092
215,saint-pierre,-21.3393,55.4781,17.82000000000005,68,0,3.6,RE,1722724094
216,mikumi,-7.4041,36.9831,17.680000000000007,77,4,1.27,TZ,1722724095
217,rio preto da eva,-2.6994,-59.6997,29.77000000000004,51,80,0.91,BR,1722724096
218,hun,29.1268,15.9477,29.210000000000036,19,0,2.76,LY,1722724097
219,fasa,28.9383,53.6482,28.58000000000004,28,56,0.0,IR,1722724098
220,selfoss,63.9331,-20.9971,11.57000000000005,75,100,8.53,IS,1722724099
221,cadale,2.7603,46.3222,24.55000000000001,85,67,8.01,SO,1722724100
222,kununurra,-15.7667,128.7333,13.990000000000009,94,9,0.0,AU,1722724101
223,mekhe,15.1097,-16.6218,27.960000000000036,62,80,6.01,SN,1722724102
224,hwange,-18.3693,26.5019,17.420000000000016,28,6,1.15,ZW,1722724104
225,aleksandrovsk-sakhalinskiy,50.8975,142.1561,16.24000000000001,62,100,1.88,RU,1722724105
226,letlhakane,-21.4167,25.5833,17.900000000000034,27,0,4.63,BW,1722723917
227,midvagur,62.0511,-7.1939,11.460000000000036,93,100,4.63,FO,1722724108
228,codrington,-38.2667,141.9667,4.400000000000034,91,71,3.76,AU,1722724109
229,jahanian shah,31.8055,72.2771,31.870000000000005,64,54,4.49,PK,1722724110
230,kargil,34.5667,76.1,13.830000000000041,62,14,3.21,IN,1722724111
231,pyt-yakh,60.7499,72.8582,16.350000000000023,91,94,1.6,RU,1722724112
232,vilyuchinsk,52.9306,158.4028,18.150000000000034,75,100,0.35,RU,1722724114
233,dayton,39.7589,-84.1916,30.82000000000005,64,20,5.66,US,1722724017
234,kulhudhuffushi,6.6221,73.07,28.53000000000003,73,84,6.02,MV,1722724116
235,st. john's,47.5649,-52.7093,23.420000000000016,66,40,8.75,CA,1722723870
236,whitehorse,60.7161,-135.0538,17.79000000000002,47,75,3.6,CA,1722724118
237,thunder bay,48.4001,-89.3168,22.99000000000001,64,75,2.57,CA,1722723915
238,vila velha,-20.3297,-40.2925,21.970000000000027,94,75,2.06,BR,1722723929
239,cacoal,-11.4386,-61.4472,32.120000000000005,29,62,1.88,BR,1722724121
240,ujkigyos,46.5833,21.0333,17.30000000000001,82,79,4.29,HU,1722724122
241,grafton,42.207,-71.6856,30.340000000000032,74,20,2.06,US,1722724124
242,la'ie,21.6477,-157.9253,28.980000000000018,74,40,3.13,US,1722724125
243,nizhneangarsk,55.7833,109.55,10.950000000000045,85,66,0.09,RU,1722724126
244,sanctuary point,-35.1114,150.629,11.29000000000002,71,83,2.24,AU,1722724127
245,lorengau,-2.0226,147.2712,27.29000000000002,83,77,5.06,PG,1722724129
246,lethem,3.3803,-59.7968,26.939999999999998,78,81,2.68,GY,1722724130
247,cill airne,52.05,-9.5167,14.03000000000003,88,75,1.54,IE,1722724131
248,badger,64.8,-147.5333,13.950000000000045,89,75,1.54,US,1722724133
249,roma,43.2128,-75.4557,27.08000000000004,69,0,2.57,US,1722723929
250,novouzensk,50.4592,48.1431,19.310000000000002,49,13,1.82,RU,1722724135
251,tazacorte,28.629,-17.9293,22.54000000000002,83,0,7.72,ES,1722724136
252,kashin,57.3592,37.6081,11.629999999999995,93,9,2.9,RU,1722724137
253,arraial do cabo,-22.9661,-42.0278,22.340000000000032,83,0,11.88,BR,1722724138
254,ghadamis,30.1337,9.5007,35.60000000000002,12,3,4.11,LY,1722724139
